time_s,f_des_N,f_rfob_N,f_ati_N,f_err_N,f_joint_Nm,tau_in_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_des_rad,q_rad,tau_meas_Nm,b_adm,k_spring,kp_motor,kd_motor,lpf_alpha,vel_limit,wq_rfob
1.042902,0.000000,-0.007337,0.586731,0.007337,0.001467,0.005128,0.000332,-0.102564,0.000910,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.050578,0.000000,0.025739,0.635193,-0.025739,-0.005148,-0.005128,-0.000991,-0.014652,0.000902,-0.000191,-0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.060283,0.000000,0.005462,0.582301,-0.005462,-0.001092,-0.015385,-0.000180,-0.063492,0.000900,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.070351,0.000000,0.009515,0.582301,-0.009515,-0.001903,-0.005128,-0.000342,0.053724,0.000897,-0.000191,0.022222,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.080285,0.000000,-0.017639,0.576061,0.017639,0.003528,0.022222,0.000744,-0.004884,0.000904,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.090309,0.000000,-0.010016,0.551495,0.010016,0.002003,0.001709,0.000439,-0.092796,0.000909,-0.000191,0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.102370,0.000000,0.025024,0.551495,-0.025024,-0.005005,0.005128,-0.000963,-0.034188,0.000897,-0.000191,-0.025641,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.111938,0.000000,0.011250,0.619762,-0.011250,-0.002250,-0.025641,-0.000412,0.043956,0.000893,-0.000191,-0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.120237,0.000000,-0.028531,0.619762,0.028531,0.005706,-0.011966,0.001179,-0.034188,0.000903,-0.000191,-0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.130342,0.000000,-0.025500,0.593454,0.025500,0.005100,-0.011966,0.001058,0.073260,0.000914,-0.000191,-0.022222,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.140000,0.000000,-0.067369,0.579745,0.067369,0.013474,-0.022222,0.002733,-0.102564,0.000940,-0.000191,0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.150808,0.000000,-0.020503,0.579745,0.020503,0.004101,0.008547,0.000858,-0.034188,0.000949,-0.000191,0.018803,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.160315,0.000000,-0.008517,0.577258,0.008517,0.001703,0.018803,0.000379,-0.024420,0.000953,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.170301,0.000000,-0.005174,0.543570,0.005174,0.001035,-0.001709,0.000245,-0.034188,0.000955,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.180333,0.000000,0.001546,0.543570,-0.001546,-0.000309,0.001709,-0.000024,-0.092796,0.000955,-0.000191,0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.190680,0.000000,0.032156,0.637243,-0.032156,-0.006431,0.015385,-0.001248,-0.063492,0.000942,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.200690,0.000000,0.034145,0.598758,-0.034145,-0.006829,-0.005128,-0.001328,-0.151404,0.000929,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.210064,0.000000,0.060288,0.598758,-0.060288,-0.012058,-0.008547,-0.002373,-0.073260,0.000907,-0.000191,-0.035897,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.220651,0.000000,0.027678,0.583606,-0.027678,-0.005536,-0.035897,-0.001069,-0.014652,0.000895,-0.000191,0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.230299,0.000000,-0.005656,0.583606,0.005656,0.001131,0.008547,0.000264,-0.024420,0.000898,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.240479,0.000000,-0.018516,0.560194,0.018516,0.003703,-0.001709,0.000779,-0.112332,0.000906,-0.000191,0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.250025,0.000000,0.009497,0.612164,-0.009497,-0.001899,0.005128,-0.000342,-0.034188,0.000902,-0.000191,-0.018803,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.260130,0.000000,-0.009980,0.612164,0.009980,0.001996,-0.018803,0.000437,-0.024420,0.000907,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.270467,0.000000,-0.021717,0.587754,0.021717,0.004343,-0.001709,0.000907,0.112332,0.000916,-0.000191,0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.281837,0.000000,-0.063958,0.572082,0.063958,0.012792,0.008547,0.002596,0.083028,0.000946,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.290792,0.000000,-0.071767,0.572082,0.071767,0.014353,0.001709,0.002909,-0.043956,0.000972,-0.000191,0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.300052,0.000000,-0.025412,0.573458,0.025412,0.005082,0.005128,0.001055,-0.102564,0.000982,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.311121,0.000000,0.018111,0.538547,-0.018111,-0.003622,-0.001709,-0.000686,-0.112332,0.000974,-0.000191,0.025641,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.320000,0.000000,0.054729,0.538547,-0.054729,-0.010946,0.025641,-0.002151,0.053724,0.000955,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.330347,0.000000,0.015323,0.632859,-0.015323,-0.003065,0.001709,-0.000575,0.024420,0.000949,-0.000191,0.018803,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
