time_s,q1_rad,q2_rad,q3_rad,qdot1_rad_s,qdot2_rad_s,qdot3_rad_s,tau_meas1_Nm,tau_meas2_Nm,tau_meas3_Nm,f_des_N,f_raw_N,f_filt_N,f_err_N,xdot_des_x,xdot_des_y,xdot_des_z,qdot_des1_rad_s,qdot_des2_rad_s,qdot_des3_rad_s,q_des1_rad,q_des2_rad,q_des3_rad,kp1,kp2,kp3,kd1,kd2,kd3,m_adm,xdot_alpha,b_adm,k_adm,lpf_alpha,vel_limit
296.36843990000125,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,0.05372405372405353,0.0146520146520146,0.024420024420024333,0.04273504273504258,0.4735042735042736,0.3230769230769228,8.0,8.00678825378418,8.013615965301234,-0.013615965301234212,-0.0001600190199447111,2.3341852839386303e-05,-8.248665615075582e-05,0.0,0.0015330010466382486,-0.0035676296409696867,0.0,0.8118294074185023,-0.7493822489849321,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.3790248000005,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,0.03418803418803407,0.0439560439560438,-0.024420024420024333,0.029059829059828957,0.476923076923077,0.34017094017093985,8.0,8.00678825378418,8.012933194149529,-0.01293319414952876,-0.00015026514634891892,2.3341852839386303e-05,-8.248665615075582e-05,0.0,0.001440281462323337,-0.0033934299006614026,0.0,0.8118446526537517,-0.749418168101085,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.3842396,-0.0036240177004653873,0.7912535286488136,-0.776757457846952,-0.0146520146520146,-0.15140415140415087,0.1025641025641022,0.04273504273504258,0.44957264957264975,0.34700854700854666,8.0,8.029569625854492,8.014596837320026,-0.014596837320025813,-0.0001740127679408589,2.334178503583776e-05,-8.379443848003058e-05,0.0,0.001667141553990848,-0.0038305612793849845,0.0,0.8118533464635267,-0.7494381437120429,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.38653740000154,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,-0.024420024420024333,-0.0146520146520146,-0.024420024420024333,0.04273504273504258,0.4871794871794872,0.3811965811965816,8.0,8.029569625854492,8.016094116173473,-0.01609411617347334,-0.00019542117526241288,2.3341852839386303e-05,-8.248665615075582e-05,0.0,0.0018695312561670342,-0.004199896012081736,0.0,0.81185764227245,-0.7494477942331059,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.38918280000144,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,0.024420024420024333,0.11233211233211193,-0.0439560439560438,0.06324786324786302,0.4700854700854702,0.3641025641025637,8.0,8.029569625854492,8.017441667141576,-0.01744166714157558,-0.00021467190337815916,2.3341852839386303e-05,-8.248665615075582e-05,0.0,0.0020525272209108657,-0.004543705249055553,0.0,0.81186307202796,-0.7494598141509713,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.3941685000009,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,0.0146520146520146,0.004884004884004867,0.024420024420024333,0.06666666666666643,0.4666666666666668,0.34017094017093985,8.0,8.029569625854492,8.018654463012867,-0.018654463012866884,-0.00023199755868232068,2.3341852839386303e-05,-8.248665615075582e-05,0.0,0.0022172235891802167,-0.004853133562331807,0.0,0.8118741264396074,-0.7494840104189704,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.4104401000004,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,0.024420024420024333,-0.1025641025641022,-0.06349206349206327,0.04273504273504258,0.4837606837606838,0.34358974358974326,8.0,8.008708000183105,8.017659816729891,-0.01765981672989092,-0.00021778832606837836,2.3341852839386303e-05,-8.248665615075582e-05,0.0,0.0020821516991808464,-0.004599363139020545,0.0,0.8119080063791948,-0.7495588494162211,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.4280991000014,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,0.06349206349206327,0.05372405372405353,0.024420024420024333,0.04273504273504258,0.4735042735042736,0.3264957264957262,8.0,7.994997978210449,8.015393632877947,-0.015393632877946928,-0.00018541427104060704,2.3341852839386303e-05,-8.248665615075582e-05,0.0,0.001774406381868352,-0.004021177260028146,0.0,0.811939340621494,-0.74962985938546,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.43998190000093,-0.0036240177004653873,0.7912535286488136,-0.776757457846952,-0.004884004884004867,0.06349206349206327,0.06349206349206327,0.05641025641025621,0.476923076923077,0.384615384615385,8.0,7.994762897491455,8.013330559339298,-0.013330559339298276,-0.0001559230825018941,2.334178503583776e-05,-8.379443848003058e-05,0.0,0.001495116582656852,-0.003507363305080404,0.0,0.8119571067928216,-0.7496715366821399,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.45573310000145,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,-0.05372405372405353,-0.0439560439560438,0.0439560439560438,0.03247863247863236,0.4735042735042736,0.33675213675213644,8.0,7.985622406005859,8.010559744005954,-0.010559744005954386,-0.00011635871572642786,2.3341852839386303e-05,-8.248665615075582e-05,0.0,0.0011179694985640383,-0.002787876491422346,0.0,0.811974716153988,-0.7497154490823331,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
