time_s,f_des_N,f_raw_N,f_filt_N,f_err_N,f_joint_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_des_rad,q_rad,tau_meas_Nm,b_adm,k_spring,kp_motor,kd_motor,lpf_alpha,vel_limit
1.330612,0.000000,-0.153937,-0.179470,0.179470,0.035894,0.007217,0.034188,0.016201,-0.000191,0.059829,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.340628,0.000000,-0.162104,-0.174260,0.174260,0.034852,0.006932,0.004884,0.016270,0.000191,0.066667,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.350169,0.000000,-0.162104,-0.170613,0.170613,0.034123,0.006786,0.014652,0.016335,0.000191,0.042735,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.360008,0.000000,-0.181032,-0.173739,0.173739,0.034748,0.006911,-0.053724,0.016403,0.000191,0.059829,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.370000,0.000000,-0.204733,-0.183037,0.183037,0.036607,0.007283,0.014652,0.016476,0.000191,0.076923,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.381611,0.000000,-0.204733,-0.189546,0.189546,0.037909,0.007544,-0.053724,0.016563,0.000191,0.052991,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.390842,0.000000,-0.100154,-0.162728,0.162728,0.032546,0.006471,0.141636,0.016623,0.000191,0.063248,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.400515,0.000000,-0.127910,-0.152283,0.152283,0.030457,0.006053,0.063492,0.016681,0.000191,0.073504,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.410366,0.000000,-0.127910,-0.144971,0.144971,0.028994,0.005761,-0.043956,0.016738,0.000191,0.094017,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.420533,0.000000,-0.179350,-0.155285,0.155285,0.031057,0.006173,0.092796,0.016801,0.000191,0.070085,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.431512,0.000000,-0.175727,-0.161417,0.161417,0.032283,0.006419,0.053724,0.016871,0.000191,0.073504,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.440618,0.000000,-0.175727,-0.165710,0.165710,0.033142,0.006590,0.024420,0.016931,0.000191,0.046154,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.450085,0.000000,-0.152287,-0.161683,0.161683,0.032337,0.006429,-0.004884,0.016992,0.000191,0.056410,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.460091,0.000000,-0.152287,-0.158865,0.158865,0.031773,0.006316,-0.024420,0.017055,0.000191,0.070085,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.470119,0.000000,-0.109551,-0.144071,0.144071,0.028814,0.005725,0.004884,0.017113,0.000191,0.083761,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.482097,0.000000,-0.152119,-0.146485,0.146485,0.029297,0.005821,-0.131868,0.017183,0.000191,0.076923,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.490575,0.000000,-0.152119,-0.148175,0.148175,0.029635,0.005965,0.014652,0.017233,-0.000191,0.059829,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.500547,0.000000,-0.148116,-0.148158,0.148158,0.029632,0.005888,-0.004884,0.017292,0.000191,0.083761,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.510561,0.000000,-0.174154,-0.155956,0.155956,0.031191,0.006200,0.083028,0.017354,0.000191,0.094017,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.520338,0.000000,-0.174154,-0.161416,0.161416,0.032283,0.006418,-0.063492,0.017417,0.000191,0.059829,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
