time_s,f_des_N,f_raw_N,f_filt_N,f_err_N,f_joint_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_rad,tau_meas_Nm,b_adm,k_spring,kd_motor,lpf_alpha,vel_limit
1.321369,0.000000,-0.455050,-0.440113,0.440113,0.088023,0.017643,0.004884,-0.000191,0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.330166,0.000000,-0.455050,-0.444594,0.444594,0.088919,0.017822,-0.083028,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.340207,0.000000,-0.388200,-0.427676,0.427676,0.085535,0.017145,-0.063492,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.350008,0.000000,-0.423015,-0.426278,0.426278,0.085256,0.017089,0.004884,-0.000191,0.029060,5.000000,1.000000,0.500000,0.3000,2.0000
1.360244,0.000000,-0.423015,-0.425299,0.425299,0.085060,0.017050,-0.014652,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.370164,0.000000,-0.444956,-0.431196,0.431196,0.086239,0.017286,-0.024420,-0.000191,0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
1.380811,0.000000,-0.444956,-0.435324,0.435324,0.087065,0.017451,0.053724,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.391023,0.000000,-0.454447,-0.441061,0.441061,0.088212,0.017681,-0.034188,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.401009,0.000000,-0.434580,-0.439117,0.439117,0.087823,0.017603,0.063492,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.410211,0.000000,-0.434580,-0.437756,0.437756,0.087551,0.017548,-0.043956,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.420091,0.000000,-0.408997,-0.429128,0.429128,0.085826,0.017203,-0.083028,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.430215,0.000000,-0.433214,-0.430354,0.430354,0.086071,0.017252,0.161172,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.440267,0.000000,-0.433214,-0.431212,0.431212,0.086242,0.017287,0.053724,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.450421,0.000000,-0.440409,-0.433971,0.433971,0.086794,0.017397,-0.122100,-0.000191,0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
1.460226,0.000000,-0.462016,-0.442385,0.442385,0.088477,0.017734,0.131868,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.471089,0.000000,-0.462016,-0.448274,0.448274,0.089655,0.017969,0.004884,-0.000191,0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
1.480035,0.000000,-0.402972,-0.434684,0.434684,0.086937,0.017425,-0.043956,-0.000191,0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
1.490265,0.000000,-0.414844,-0.428732,0.428732,0.085746,0.017187,0.014652,-0.000191,0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.500557,0.000000,-0.414844,-0.424566,0.424566,0.084913,0.017021,-0.122100,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.510260,0.000000,-0.440918,-0.429471,0.429471,0.085894,0.017217,0.073260,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.520000,0.000000,-0.451502,-0.436081,0.436081,0.087216,0.017481,0.092796,-0.000191,0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
1.530068,0.000000,-0.451502,-0.440707,0.440707,0.088141,0.017666,0.083028,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.540575,0.000000,-0.446732,-0.442515,0.442515,0.088503,0.017739,-0.004884,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.550309,0.000000,-0.446732,-0.443780,0.443780,0.088756,0.017789,0.024420,-0.000191,-0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
1.560881,0.000000,-0.377254,-0.423822,0.423822,0.084764,0.016991,0.034188,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.571349,0.000000,-0.430056,-0.425692,0.425692,0.085138,0.017066,0.004884,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.580000,0.000000,-0.430056,-0.427001,0.427001,0.085400,0.017118,-0.053724,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.590276,0.000000,-0.438061,-0.430319,0.430319,0.086064,0.017251,0.073260,-0.000191,0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
1.600946,0.000000,-0.446108,-0.435056,0.435056,0.087011,0.017440,0.043956,-0.000191,0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
1.610163,0.000000,-0.446108,-0.438372,0.438372,0.087674,0.017573,-0.063492,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.620178,0.000000,-0.395942,-0.425643,0.425643,0.085129,0.017064,-0.043956,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.630000,0.000000,-0.395904,-0.416721,0.416721,0.083344,0.016707,-0.043956,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.641113,0.000000,-0.395904,-0.410476,0.410476,0.082095,0.016457,-0.034188,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.650489,0.000000,-0.442595,-0.420112,0.420112,0.084022,0.016843,0.014652,-0.000191,0.032479,5.000000,1.000000,0.500000,0.3000,2.0000
1.660350,0.000000,-0.443097,-0.427007,0.427007,0.085401,0.017118,-0.004884,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.671454,0.000000,-0.443097,-0.431834,0.431834,0.086367,0.017312,-0.043956,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.680516,0.000000,-0.468468,-0.442824,0.442824,0.088565,0.017751,-0.024420,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.690230,0.000000,-0.468468,-0.450518,0.450518,0.090104,0.018059,-0.034188,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.700209,0.000000,-0.378671,-0.428963,0.428963,0.085793,0.017197,-0.014652,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
