time_s,f_des_N,f_est_N,f_ati_N,f_err_N,tau_meas_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_des_rad,q_rad,b_adm,k_spring,kp_motor,kd_motor,lpf_alpha,vel_limit
1.260071,0.000000,0.012864,-0.574565,-0.012864,0.005128,-0.000400,-0.112332,0.000655,-0.000572,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.270267,0.000000,0.005163,-0.627226,-0.005163,-0.005128,-0.000168,-0.083028,0.000653,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.280000,0.000000,0.012677,-0.627226,-0.012677,0.008547,-0.000469,0.034188,0.000648,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.290005,0.000000,-0.008661,-0.622267,0.008661,-0.018803,0.000385,-0.102564,0.000652,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.300286,0.000000,0.001618,-0.612560,-0.001618,0.008547,-0.000027,0.024420,0.000652,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.310443,0.000000,-0.007253,-0.612560,0.007253,-0.008547,0.000328,-0.024420,0.000655,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.320645,0.000000,-0.010930,-0.558235,0.010930,-0.005128,0.000475,0.034188,0.000660,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.330439,0.000000,0.016897,-0.611183,-0.016897,0.025641,-0.000638,0.073260,0.000654,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.340380,0.000000,0.032321,-0.611183,-0.032321,0.018803,-0.001255,-0.014652,0.000641,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.350242,0.000000,0.020728,-0.606941,-0.020728,-0.005128,-0.000791,-0.034188,0.000634,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.360211,0.000000,0.028549,-0.633669,-0.028549,0.011966,-0.001104,-0.014652,0.000623,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.370272,0.000000,0.041642,-0.633669,-0.041642,0.018803,-0.001628,0.034188,0.000606,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.380107,0.000000,0.048698,-0.564740,-0.048698,0.015385,-0.001910,-0.092796,0.000587,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.392020,0.000000,0.061181,-0.564740,-0.061181,0.022222,-0.002409,-0.073260,0.000559,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.400496,0.000000,0.057492,-0.553555,-0.057492,0.008547,-0.002262,-0.034188,0.000540,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.411944,0.000000,0.030609,-0.638533,-0.030609,-0.015385,-0.001186,-0.073260,0.000526,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.420105,0.000000,0.043290,-0.638533,-0.043290,0.018803,-0.001693,0.014652,0.000512,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.430826,0.000000,-0.008103,-0.658978,0.008103,-0.042735,0.000362,-0.053724,0.000516,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.440849,0.000000,0.032834,-0.671266,-0.032834,0.039316,-0.001275,0.043956,0.000503,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.450102,0.000000,0.031395,-0.671266,-0.031395,0.005128,-0.001218,-0.043956,0.000492,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.460173,0.000000,0.016569,-0.589565,-0.016569,-0.008547,-0.000625,-0.073260,0.000486,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.470227,0.000000,0.032059,-0.648114,-0.032059,0.018803,-0.001244,0.053724,0.000473,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.481183,0.000000,0.030775,-0.648114,-0.030775,0.005128,-0.001193,0.073260,0.000460,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.490334,0.000000,0.022911,-0.639331,-0.022911,-0.001709,-0.000802,-0.092796,0.000453,-0.000572,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.500001,0.000000,0.009782,-0.686913,-0.009782,-0.008547,-0.000353,-0.083028,0.000449,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.510483,0.000000,0.002697,-0.686913,-0.002697,-0.005128,-0.000070,0.004884,0.000449,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.520862,0.000000,-0.002970,-0.620639,0.002970,-0.005128,0.000233,-0.112332,0.000451,-0.000572,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.530168,0.000000,0.006171,-0.650584,-0.006171,0.008547,-0.000209,0.004884,0.000449,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.540000,0.000000,-0.030961,-0.650584,0.030961,-0.035897,0.001277,0.043956,0.000462,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.550270,0.000000,-0.016222,-0.642733,0.016222,0.008547,0.000687,-0.053724,0.000469,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.560383,0.000000,0.012664,-0.642733,-0.012664,0.025641,-0.000468,-0.024420,0.000464,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.570549,0.000000,0.039191,-0.652906,-0.039191,0.029060,-0.001529,0.004884,0.000448,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.580162,0.000000,-0.004545,-0.700733,0.004545,-0.035897,0.000220,-0.034188,0.000451,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.590343,0.000000,-0.005345,-0.700733,0.005345,-0.001709,0.000252,0.131868,0.000453,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
