time_s,q1,qd1,tau1,q2,qd2,tau2,q3,qd3,tau3,ref1,ref2,ref3,temp1,temp2,temp3
0.890000,0.075341,0.297924,0.176068,0.119974,0.073260,1.738462,-0.199702,-0.190476,0.282051,0.102881,0.175545,-0.160049,32.0,35.0,31.0
0.900111,0.078393,0.336996,0.196581,0.121881,0.239316,1.728205,-0.201228,-0.200244,0.203419,0.106211,0.177411,-0.161301,32.0,35.0,31.0
0.910147,0.081445,0.376068,0.200000,0.123407,0.180708,1.745299,-0.202373,-0.219780,0.302564,0.109600,0.179224,-0.162506,32.0,35.0,31.0
0.920106,0.084497,0.317460,0.206838,0.124170,0.063492,1.817094,-0.203899,-0.112332,0.336752,0.113046,0.180985,-0.163666,32.0,35.0,31.0
0.930000,0.087549,0.346764,0.169231,0.125696,0.151404,1.728205,-0.205043,-0.073260,0.282051,0.116548,0.182696,-0.164787,32.0,35.0,31.0
0.940049,0.091363,0.307692,0.176068,0.127222,0.102564,1.786325,-0.205806,-0.092796,0.271795,0.120186,0.184398,-0.165897,32.0,35.0,31.0
0.950000,0.094797,0.346764,0.155556,0.129129,0.131868,1.683761,-0.206950,-0.024420,0.247863,0.123867,0.186048,-0.166971,32.0,35.0,31.0
0.960201,0.098993,0.327228,0.179487,0.131037,0.210012,1.707692,-0.208095,-0.073260,0.278632,0.127720,0.187704,-0.168049,32.0,35.0,31.0
0.970000,0.102426,0.317460,0.179487,0.132563,0.229548,1.700855,-0.208858,-0.131868,0.244444,0.131495,0.189262,-0.169068,32.0,35.0,31.0
0.980107,0.106622,0.434676,0.131624,0.134470,0.210012,1.714530,-0.210002,-0.083028,0.241026,0.135463,0.190837,-0.170106,32.0,35.0,31.0
0.990300,0.110819,0.366300,0.152137,0.136378,0.258852,1.629060,-0.211147,-0.210012,0.302564,0.139538,0.192395,-0.171144,32.0,35.0,31.0
1.000000,0.114633,0.307692,0.186325,0.138285,0.210012,1.666667,-0.211910,-0.112332,0.241026,0.143483,0.193849,-0.172128,32.0,35.0,31.0
