time_s,f_des_N,f_est_N,f_ati_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s,motor_kp,motor_kd
1.500279,0.000000,-0.008547,-0.045615,0.000000,-0.001709,-0.000191,-0.053724,5.0000,0.1000
1.512492,0.000000,0.008547,-0.045615,0.000000,0.001709,-0.000191,0.043956,5.0000,0.1000
1.520149,0.000000,-0.042735,-0.042268,0.000000,-0.008547,-0.000191,-0.014652,5.0000,0.1000
1.530000,0.000000,-0.042735,-0.042268,0.000000,-0.008547,-0.000191,0.034188,5.0000,0.1000
1.540063,0.000000,-0.025641,-0.016696,0.000000,-0.005128,-0.000191,0.014652,5.0000,0.1000
1.550354,0.000000,-0.025641,-0.038361,0.000000,-0.005128,-0.000191,0.043956,5.0000,0.1000
1.560149,0.000000,-0.008547,-0.038361,0.000000,-0.001709,-0.000191,0.141636,5.0000,0.1000
1.570233,0.000000,-0.025641,-0.047452,0.000000,-0.005128,-0.000191,-0.024420,5.0000,0.1000
1.580120,0.000000,-0.025641,-0.047452,0.000000,-0.005128,-0.000191,-0.014652,5.0000,0.1000
1.590203,0.000000,-0.025641,-0.050575,0.000000,-0.005128,-0.000191,-0.073260,5.0000,0.1000
1.600000,0.000000,0.008547,-0.030254,0.000000,0.001709,-0.000191,-0.063492,5.0000,0.1000
1.610004,0.000000,-0.008547,-0.030254,0.000000,-0.001709,-0.000191,0.034188,5.0000,0.1000
1.620519,0.000000,-0.008547,-0.027414,0.000000,-0.001709,-0.000191,0.053724,5.0000,0.1000
1.630983,0.000000,-0.008547,-0.042352,0.000000,-0.001709,-0.000191,-0.053724,5.0000,0.1000
1.640597,0.000000,-0.042735,-0.042352,0.000000,-0.008547,-0.000191,-0.083028,5.0000,0.1000
1.650455,0.000000,-0.025641,-0.047414,0.000000,-0.005128,-0.000191,0.004884,5.0000,0.1000
1.660239,0.000000,-0.076923,-0.045578,0.000000,-0.015385,-0.000191,-0.004884,5.0000,0.1000
1.670095,0.000000,-0.025641,-0.045578,0.000000,-0.005128,-0.000191,-0.073260,5.0000,0.1000
1.680000,0.000000,-0.025641,-0.020007,0.000000,-0.005128,-0.000191,-0.024420,5.0000,0.1000
1.690000,0.000000,-0.008547,-0.020007,0.000000,-0.001709,-0.000191,-0.063492,5.0000,0.1000
1.700016,0.000000,-0.025641,-0.036328,0.000000,-0.005128,-0.000191,0.004884,5.0000,0.1000
1.710179,0.000000,-0.008547,-0.044471,0.000000,-0.001709,-0.000191,0.004884,5.0000,0.1000
1.720115,0.000000,-0.008547,-0.044471,0.000000,-0.001709,-0.000191,-0.073260,5.0000,0.1000
1.730161,0.000000,-0.008547,-0.048590,0.000000,-0.001709,-0.000191,-0.034188,5.0000,0.1000
1.740260,0.000000,-0.042735,-0.035588,0.000000,-0.008547,-0.000191,-0.083028,5.0000,0.1000
1.750000,0.000000,-0.042735,-0.035588,0.000000,-0.008547,-0.000191,-0.043956,5.0000,0.1000
1.760099,0.000000,-0.025641,-0.017947,0.000000,-0.005128,-0.000191,0.092796,5.0000,0.1000
1.770170,0.000000,-0.042735,-0.043171,0.000000,-0.008547,-0.000191,-0.092796,5.0000,0.1000
1.780081,0.000000,-0.008547,-0.043171,0.000000,-0.001709,-0.000191,0.014652,5.0000,0.1000
1.790342,0.000000,-0.025641,-0.048189,0.000000,-0.005128,-0.000191,-0.043956,5.0000,0.1000
1.800309,0.000000,-0.008547,-0.053702,0.000000,-0.001709,-0.000191,-0.004884,5.0000,0.1000
1.810218,0.000000,-0.042735,-0.053702,0.000000,-0.008547,-0.000191,0.004884,5.0000,0.1000
1.820039,0.000000,-0.025641,-0.022256,0.000000,-0.005128,-0.000191,-0.014652,5.0000,0.1000
1.830000,0.000000,-0.042735,-0.022256,0.000000,-0.008547,-0.000191,0.083028,5.0000,0.1000
1.840129,0.000000,-0.008547,-0.032747,0.000000,-0.001709,-0.000191,-0.034188,5.0000,0.1000
1.850000,0.000000,0.008547,-0.048425,0.000000,0.001709,-0.000191,-0.034188,5.0000,0.1000
1.860000,0.000000,-0.025641,-0.048425,0.000000,-0.005128,-0.000191,-0.053724,5.0000,0.1000
1.870234,0.000000,-0.008547,-0.046015,0.000000,-0.001709,-0.000191,-0.073260,5.0000,0.1000
1.880364,0.000000,0.008547,-0.039811,0.000000,0.001709,-0.000191,-0.122100,5.0000,0.1000
1.890161,0.000000,0.008547,-0.023029,0.000000,0.001709,-0.000191,0.102564,5.0000,0.1000
1.900568,0.000000,-0.025641,-0.023029,0.000000,-0.005128,-0.000191,0.053724,5.0000,0.1000
1.910029,0.000000,0.008547,-0.041613,0.000000,0.001709,-0.000191,0.073260,5.0000,0.1000
1.920039,0.000000,-0.076923,-0.041613,0.000000,-0.015385,-0.000191,0.073260,5.0000,0.1000
1.930086,0.000000,-0.025641,-0.046910,0.000000,-0.005128,-0.000191,-0.102564,5.0000,0.1000
1.940420,0.000000,-0.008547,-0.052712,0.000000,-0.001709,-0.000191,-0.083028,5.0000,0.1000
1.950076,0.000000,-0.042735,-0.052712,0.000000,-0.008547,-0.000191,-0.053724,5.0000,0.1000
1.960859,0.000000,-0.025641,-0.027275,0.000000,-0.005128,-0.000191,0.092796,5.0000,0.1000
1.970209,0.000000,-0.025641,-0.027275,0.000000,-0.005128,-0.000191,-0.053724,5.0000,0.1000
1.980262,0.000000,-0.025641,-0.027052,0.000000,-0.005128,-0.000191,0.083028,5.0000,0.1000
1.990289,0.000000,-0.042735,-0.042916,0.000000,-0.008547,-0.000191,0.034188,5.0000,0.1000
2.002694,0.000000,-0.008547,-0.050289,0.000000,-0.001709,-0.000191,-0.014652,5.0000,0.1000
2.010495,0.000000,-0.042735,-0.050289,0.000000,-0.008547,-0.000191,0.024420,5.0000,0.1000
2.020126,0.000000,-0.025641,-0.044978,0.000000,-0.005128,-0.000191,-0.151404,5.0000,0.1000
2.030272,0.000000,-0.042735,-0.044978,0.000000,-0.008547,-0.000191,0.034188,5.0000,0.1000
2.040369,0.000000,-0.042735,-0.024085,0.000000,-0.008547,-0.000191,0.053724,5.0000,0.1000
2.050318,0.000000,-0.025641,-0.039196,0.000000,-0.005128,-0.000191,0.092796,5.0000,0.1000
2.060121,0.000000,0.008547,-0.039196,0.000000,0.001709,-0.000191,0.043956,5.0000,0.1000
2.072614,0.000000,-0.042735,-0.039499,0.000000,-0.008547,-0.000191,0.043956,5.0000,0.1000
2.080022,0.000000,-0.008547,-0.055984,0.000000,-0.001709,-0.000191,0.043956,5.0000,0.1000
2.090006,0.000000,-0.059829,-0.055984,0.000000,-0.011966,-0.000191,0.092796,5.0000,0.1000
2.100396,0.000000,0.008547,-0.029899,0.000000,0.001709,-0.000191,0.053724,5.0000,0.1000
2.110444,0.000000,-0.025641,-0.022375,0.000000,-0.005128,-0.000191,-0.043956,5.0000,0.1000
2.120128,0.000000,-0.008547,-0.022375,0.000000,-0.001709,-0.000191,-0.131868,5.0000,0.1000
2.130000,0.000000,-0.008547,-0.041575,0.000000,-0.001709,-0.000191,-0.063492,5.0000,0.1000
2.143908,0.000000,-0.008547,-0.048988,0.000000,-0.001709,-0.000191,-0.053724,5.0000,0.1000
2.150320,0.000000,-0.025641,-0.048988,0.000000,-0.005128,-0.000191,0.073260,5.0000,0.1000
2.160000,0.000000,-0.025641,-0.046002,0.000000,-0.005128,-0.000191,-0.014652,5.0000,0.1000
2.170000,0.000000,-0.008547,-0.046002,0.000000,-0.001709,-0.000191,-0.063492,5.0000,0.1000
2.180076,0.000000,-0.059829,-0.021478,0.000000,-0.011966,-0.000191,-0.063492,5.0000,0.1000
2.190185,0.000000,-0.008547,-0.034002,0.000000,-0.001709,-0.000191,-0.073260,5.0000,0.1000
2.200020,0.000000,-0.042735,-0.034002,0.000000,-0.008547,-0.000191,0.092796,5.0000,0.1000
2.212913,0.000000,-0.008547,-0.048397,0.000000,-0.001709,-0.000191,0.004884,5.0000,0.1000
2.220412,0.000000,-0.059829,-0.050228,0.000000,-0.011966,-0.000191,0.024420,5.0000,0.1000
2.231309,0.000000,-0.025641,-0.050228,0.000000,-0.005128,-0.000191,-0.014652,5.0000,0.1000
2.241538,0.000000,-0.059829,-0.037037,0.000000,-0.011966,-0.000191,-0.004884,5.0000,0.1000
2.250232,0.000000,-0.008547,-0.037037,0.000000,-0.001709,-0.000191,0.043956,5.0000,0.1000
2.260274,0.000000,-0.042735,-0.025065,0.000000,-0.008547,-0.000191,-0.004884,5.0000,0.1000
2.270295,0.000000,0.008547,-0.043881,0.000000,0.001709,-0.000191,0.092796,5.0000,0.1000
2.281010,0.000000,0.008547,-0.050185,0.000000,0.001709,-0.000191,-0.151404,5.0000,0.1000
2.290018,0.000000,-0.025641,-0.050185,0.000000,-0.005128,-0.000191,-0.063492,5.0000,0.1000
2.300328,0.000000,-0.025641,-0.048387,0.000000,-0.005128,-0.000191,0.014652,5.0000,0.1000
2.310607,0.000000,0.008547,-0.025547,0.000000,0.001709,-0.000191,0.112332,5.0000,0.1000
2.320821,0.000000,-0.042735,-0.025547,0.000000,-0.008547,-0.000191,0.083028,5.0000,0.1000
