time_s,f_des_N,f_raw_N,f_filt_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s,accel_rad_s2,kp,ki,kd_f,lpf_alpha
1.360000,0.000000,-0.030708,-0.023010,0.000000,0.042735,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
1.370275,0.000000,-0.029324,-0.024904,0.000000,0.059829,-0.000191,-0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
1.381201,0.000000,-0.029324,-0.026230,0.000000,0.042735,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
1.390000,0.000000,-0.001368,-0.018772,0.000000,0.059829,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
1.400000,0.000000,-0.016845,-0.018194,0.000000,0.052991,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.410000,0.000000,-0.016845,-0.017789,0.000000,0.052991,-0.000191,0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
1.420842,0.000000,-0.022116,-0.019087,0.000000,0.083761,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.430175,0.000000,-0.022116,-0.019996,0.000000,0.049573,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
1.440000,0.000000,-0.036150,-0.024842,0.000000,0.035897,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
1.450021,0.000000,-0.015964,-0.022179,0.000000,0.073504,-0.000191,-0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
1.461448,0.000000,-0.005789,-0.017262,0.000000,0.056410,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.470568,0.000000,-0.005789,-0.013820,0.000000,0.035897,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
1.480238,0.000000,-0.022355,-0.016381,0.000000,0.032479,-0.000191,-0.112332,0.000000,0.000000,0.000000,0.000000,0.3000
1.490179,0.000000,-0.022355,-0.018173,0.000000,0.052991,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.500337,0.000000,-0.031258,-0.022099,0.000000,0.076923,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.510000,0.000000,-0.031158,-0.024816,0.000000,0.059829,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.520410,0.000000,-0.031158,-0.026719,0.000000,0.063248,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
1.530286,0.000000,-0.003777,-0.019836,0.000000,0.059829,-0.000191,0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
1.540360,0.000000,-0.012405,-0.017607,0.000000,0.039316,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.550715,0.000000,-0.012405,-0.016046,0.000000,0.059829,-0.000191,0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
1.560000,0.000000,-0.024891,-0.018700,0.000000,0.049573,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.570101,0.000000,-0.035659,-0.023787,0.000000,0.052991,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
1.580229,0.000000,-0.035659,-0.027349,0.000000,0.042735,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
1.590410,0.000000,-0.023296,-0.026133,0.000000,0.066667,-0.000191,0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
1.600000,0.000000,-0.001016,-0.018598,0.000000,0.042735,-0.000191,0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
1.610093,0.000000,-0.001016,-0.013323,0.000000,0.042735,-0.000191,-0.112332,0.000000,0.000000,0.000000,0.000000,0.3000
1.620397,0.000000,-0.023267,-0.016306,0.000000,0.032479,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
1.631265,0.000000,-0.023267,-0.018394,0.000000,0.049573,0.000191,0.131868,0.000000,0.000000,0.000000,0.000000,0.3000
1.640358,0.000000,-0.028893,-0.021544,0.000000,0.049573,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
1.650109,0.000000,-0.032420,-0.024807,0.000000,0.046154,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.660015,0.000000,-0.032420,-0.027091,0.000000,0.042735,-0.000191,0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
1.670379,0.000000,-0.004136,-0.020204,0.000000,0.056410,-0.000191,-0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
1.681532,0.000000,-0.010080,-0.017167,0.000000,0.049573,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.690409,0.000000,-0.010080,-0.015041,0.000000,0.063248,-0.000191,-0.073260,0.000000,0.000000,0.000000,0.000000,0.3000
1.700375,0.000000,-0.023278,-0.017512,0.000000,0.049573,-0.000191,0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
1.710195,0.000000,-0.031386,-0.021674,0.000000,0.042735,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
1.720169,0.000000,-0.031386,-0.024588,0.000000,0.039316,-0.000191,-0.073260,0.000000,0.000000,0.000000,0.000000,0.3000
1.730171,0.000000,-0.024641,-0.024604,0.000000,0.073504,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.743517,0.000000,0.002415,-0.016498,0.000000,0.039316,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
1.750301,0.000000,0.002415,-0.010824,0.000000,0.066667,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
1.760593,0.000000,-0.022323,-0.014274,0.000000,0.070085,-0.000191,0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
1.770570,0.000000,-0.022323,-0.016688,0.000000,0.073504,-0.000191,-0.092796,0.000000,0.000000,0.000000,0.000000,0.3000
1.780338,0.000000,-0.027370,-0.019893,0.000000,0.063248,-0.000191,-0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
1.790000,0.000000,-0.034798,-0.024364,0.000000,0.056410,-0.000191,-0.092796,0.000000,0.000000,0.000000,0.000000,0.3000
1.800000,0.000000,-0.034798,-0.027494,0.000000,0.052991,-0.000191,0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
1.810000,0.000000,-0.009067,-0.021966,0.000000,0.094017,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
1.820827,0.000000,-0.003274,-0.016359,0.000000,0.073504,-0.000191,-0.170940,0.000000,0.000000,0.000000,0.000000,0.3000
1.831629,0.000000,-0.003274,-0.012433,0.000000,0.049573,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
1.840437,0.000000,-0.021412,-0.015127,0.000000,0.056410,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.850541,0.000000,-0.032037,-0.020200,0.000000,0.073504,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.860020,0.000000,-0.032037,-0.023751,0.000000,0.042735,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
1.870146,0.000000,-0.025689,-0.024332,0.000000,0.073504,-0.000191,-0.200244,0.000000,0.000000,0.000000,0.000000,0.3000
1.880255,0.000000,0.000617,-0.016848,0.000000,0.039316,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.890166,0.000000,0.000617,-0.011608,0.000000,0.042735,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
